chunk_text,mapped_symptoms,doctor_answer
"Trẻ sơ sinh đi ngoài có bọt, nổi mụn trên mặt có đáng lo?",swollen_blood_vessels,"Tình trạng hệ tiêu hóa và mụn của con em như vậy không có gì đáng ngại. Em nên cho con bú mẹ hoàn toàn trực tiếp và có thể tắm cho bé bằng sữa tắm Lactacyd dành cho trẻ em. Vì vậy, em có thể hoàn toàn yên tâm em nhé!"
Dùng thuốc bôi trị ngứa khi đang cho con bú được không?,itching,"Như mô tả, bạn bị ngứa vùng mông ngày càng lan rộng và đang cho con bú. Nguyên nhân có thể do bạn bị nấm da hoặc viêm da. Bạn nên đi khám bác sĩ da liễu để được chẩn đoán chính xác và kê đơn thuốc bôi hợp lý, có nhiều thuốc bạn có thể vừa bôi vừa cho con bú được. Thâm da là hiện tượng tăng sắc tố sau viêm, bạn nên tránh chà gãi để hạn chế việc để lại các sẹo thâm trên da bạn nhé."
"Đau đầu từng cơn, ho và sổ mũi kèm ù tai có phải ung thư vòm họng không?",headache,"Theo như triệu chứng cháu mô tả thì nghĩ nhiều đến bệnh lý mũi xoang. Để chẩn đoán ung thư vòm họng cháu cần được đến khám trực tiếp với bác sĩ Tai mũi họng. Nếu cháu còn thắc mắc về vấn đề bệnh lý sức khỏe của mình hay cần thêm những thông tin khoa học, chính xác về bệnh lý ung thư vòm họng cháu có thể đến bệnh viện thuộc Hệ thống Y tế Vinmec để kiểm tra với bác sĩ Tai mũi họng."
"Có nên chụp CT để tìm nguyên nhân đau đầu, ù tai, căng thẳng không?",headache,"Với những triệu chứng bạn mô tả thì chưa đủ để bác sĩ tư vấn cho bạn. Như vậy, tốt nhất bạn nên đến gặp trực tiếp bác sĩ chuyên khoa nội thần kinh để được thăm khám kỹ càng. Chụp CT sẽ giúp chẩn đoán tốt nhất chứng viêm tai giữa của bạn, còn việc dùng thuốc hay không dùng thuốc cản quang thì bác sĩ chẩn đoán hình ảnh sẽ giúp bạn đưa ra quyết định tại thời điểm vừa chụp CT không có thuốc xong. Với tình trạng đau đầu, ù tai thì bác sĩ có thể dùng MRI mà không dùng CT. Khi thăm khám, bác sĩ sẽ cân nhắc xem nên tư vấn bạn làm gì tại thời điểm đó."
"Đau lưng, mỏi gối, tê chân tay, sợ lạnh, mất ngủ có phải triệu chứng thận dương hư hay không?",back_pain,"Những triệu chứng bạn mô tả có thể là biểu hiện của rất nhiều bệnh lý. Theo đó, để xác định đau lưng, mỏi gối, tê chân tay, sợ lạnh, mất ngủ có phải triệu chứng thận dương hư hay không thì bạn cần đến khám chuyên khoa Nội. Các bác sĩ sẽ thực hiện thăm khám, đồng thời chỉ định cho bạn những xét nghiệm cần thiết và tư vấn điều trị cụ thể hơn.Còn chứng thận dương hư là cách nói của Đông y, còn Tây y chẩn đoán có suy thận không, thì phải khám và xét nghiệm đánh giá chức năng thận mới khẳng định được bạn nhé."
"Tôi muốn hỏi khi tiêm vaccine Covid-19 có trường hợp nào sốt kéo dài không (trên 10 ngày)? Vợ tôi tiêm mũi 2 vaccine Covid-19, tiêm xong 2 ngày sau bắt đầu sốt nhẹ (37,2 đến 37,5 độ) và hiện tại vẫn sốt ngày hôm nay là ngày thứ 8? Nhờ bác sĩ tư vấn giúp trường hợp của vợ tôi.",mild_fever,"Sốt có thể là phản ứng của cơ thể khi được tiêm chủng vaccine Covid-19 nhưng thông thường triệu chứng sẽ hết trong vòng 3 ngày sau khi tiêm, rất hiếm khi kéo dài như tình trạng của vợ của bạn."
Cách khắc phục mụn mủ tái phát thường xuyên?,pus_filled_pimples,"Mụn mủ có thể gặp trong nhiều trường hợp như: mụn trứng cá, viêm nang lông, nhọt,... Việc trả lời câu hỏi của bạn còn phụ thuộc vào nhiều yếu tố như mụn mủ trên da bạn thường mọc ở vị trí nào, kích thước ra sao, có kèm theo triệu chứng như ngứa, bong vảy, bạn đã tác động và điều trị gì. Nếu được, bạn có thể gửi kèm hình ảnh mụn mủ và cung cấp thêm thông tin về cách xử trí trước đây, những mỹ phẩm và thuốc bạn đã dùng để bác sĩ có thêm dữ liệu tư vấn phù hợp."
"Tiểu buốt, hay tiểu rắt là bệnh gì?","burning_micturition, spotting_ urination","Tiểu buốt, tiểu rắt là triệu chứng của viêm đường tiểu dưới. Việc bạn mua thuốc ở nhà thuốc không đảm bảo có kê đúng thuốc hay không. Ngoài ra, còn có những nguyên nhân khác gây viêm đường tiểu dưới ngoài nhiễm trùng thông thường. Nếu triệu chứng không cải thiện bạn nên đến khám chuyên khoa Tiết niệu để được thăm khám, điều trị cụ thể."
"Nổi mụn ở tay và ngực, nổi hạch ở sau gáy là bệnh gì?",swollen_blood_vessels,"Bạn bị nổi dát đỏ, mụn nước ở cánh tay và ngực kết hợp với nổi hạch ở sau gáy, có thể bạn bị Zona. Zona là một bệnh gây tổn thương ở da và thần kinh ngoại biên, căn nguyên do virus Varicella Zoster. Đây là virus gây bệnh thủy đậu. Ở người đã mắc bệnh thủy đậu, sau khi khỏi, một số ít virus tồn tại ở hạch thần kinh cảm giác cạnh cột sống dưới dạng tiềm tàng. Khi cơ thể suy giảm miễn dịch, virus tái hoạt động và gây bệnh Zona.Để điều trị bệnh Zona bạn cần khám chuyên khoa da liễu để được điều trị sớm, tránh gây các biến chứng bạn nhé."
Người mệt mỏi kèm huyết áp thường xuyên thay đổi có sao không?,"fatigue, malaise","Với độ tuổi của anh, thì huyết áp như vậy là khá tốt. Anh cần đi khám chuyên khoa tiêu hóa để xác định nguyên nhân đi vệ sinh nhiều lần."
Mũi bị ngạt kèm theo khó thở là bệnh gì?,breathlessness,"“ hai cục tròn tròn” như bạn mô tả là đầu cuốn mũi dưới, đây là cấu trúc bình thường. Tuy nhiên khi viêm, cuốn mũi dưới bị nề, to ra sẽ làm hẹp đường không khí đi vào phổi nên bạn thấy ngạt mũi."
Người bị lao phổi cần bổ sung những chất gì để tăng cân?,weight_gain,Bệnh nhân Lao cần có chế độ dinh dưỡng phù hợp về năng lượng và tỷ lệ chất đạm trong khẩu phần. Vì thiếu nhiều thông tin nên bác sĩ chưa thể tư vấn chế độ ăn cụ thể cho em của bạn. Thông tin cần cung cấp thêm: Cân nặng và chiều cao hiện tại; cân nặng trước khi phát hiện bệnh; bệnh lý kèm theo; chế độ ăn từ khi phát hiện bệnh đến nay và chế độ ăn trước khi phát hiện bệnh.
Thường xuyên buồn ngủ mất tập trung có tự dùng Modafinil được không?,shivering,"Modafinil là một thuốc có tác động lên thần kinh trung ương, được chỉ định do bệnh nhân ngưng thở khi ngủ, người bệnh có rối loạn giấc ngủ do ngủ nhiều vào ban ngày. Ngoài ra thuốc có các tác dụng phụ như đau đầu, giảm nhu cầu thèm ăn, đánh trống ngực, tăng huyết áp, chóng mặt, trầm cảm,...Trong đó tác dụng phụ liên quan tim mạch bao gồm đột tử đã được báo cáo. Người bệnh cần được đánh giá chức năng tim mạch trước khi dùng thuốc cũng như theo dõi khi dùng thuốc. Ngoài ra thuốc cũng tương tác với nhiều thuốc nên việc tự dùng thuốc không được khuyến cáo.Hiện tại thuốc này không được lưu hành tại Việt Nam.Trong trường hợp bạn muốn giảm nhẹ triệu chứng, bạn nên đến chuyên khoa Thần kinh để được khám và kê đơn các thuốc đang được lưu hành tại Việt Nam."
"Em có tiền sử dị ứng với một loại thuốc kháng sinh phải vào bệnh viện cấp cứu một lần do bị nổi mẩn ngứa khắp người, hơi khó thở. Vậy em có được tiêm vaccine ngừa Covid-19 không ạ?","swollen_blood_vessels, breathlessness, itching","Như trường hợp của anh có dị ứng với một loại thuốc kháng sinh (nổi mẩn đỏ, hơi khó thở) có triệu chứng của phản ứng phản vệ độ II. Theo hướng dẫn trong QĐ 2995 BYT ngày 18/6/2021 về đối tượng chống chỉ định tiêm chủng trong đó có đối tượng có phản ứng phản vệ từ độ II trở lên với bất ký tác nhân nào."
Sốt cao kèm nổi hạch ở cổ cảnh báo bệnh lý gì?,"swollen_blood_vessels, high_fever","Thông tin bạn nêu hướng đến bệnh lý viêm đường hô hấp trên và tổn thương da (Ban dạng mụn nước: không đầy đủ thông tin) để kết luận là có phải bệnh thủy đậu hay không. Để có chẩn đoán và điều trị phù hợp, bạn nên đi khám càng sớm càng tốt."
"Cháu có tiền sử gia đình có nhiều người bị động kinh, trong não có các khối cavesnome, bản thân cháu đã từng phẫu thuật lấy khối cavesnome bị vỡ cách đây 7 năm, kết quả chụp hiện tại trong đầu cháu còn mấy khối nữa. Cháu bị dị ứng không có dị nguyên, thi thoảng nổi mề đay, có lần dẫn đến khó thở phải dùng thuốc xịt. Vậy cháu có nên tiêm vaccine phòng Covid không?","swollen_blood_vessels, breathlessness, family_history","Tiền sử bệnh lý và tình trạng dị ứng của anh/chị vẫn tiêm phòng vaccine Covid-19. Tuy nhiên, trước khi tiêm phòng anh/chị cần phải đi khám sức khoẻ để kiểm tra lại tình trạng bệnh lý xem hiện tại có ổn định hay không. Theo hướng dẫn của Bộ Y tế, những trường hợp mắc bệnh lý mạn tính như anh/chị cần được khám sàng lọc, tiêm phòng vaccine Covid-19 tại tuyến bệnh viện hoặc tại các cơ sở có đủ năng lực về hồi sức cấp cứu ban đầu, khi đi tiêm phòng anh/chị nhớ mang theo kết quả khám về tình trạng bệnh lý của anh/chị để các bác sĩ tư vấn cụ thể hơn."
"Tôi mới sinh em bé được 7 tháng, hiện nay không còn sữa cho bé bú. Sau khi sinh một tháng thì tôi bị nổi mề đay, dị ứng thời tiết. Hiện tôi đang dùng thuốc dị ứng nên không biết có nên tiêm vaccine Covid-19 tại các điểm tiêm cộng đồng không hay nên tiêm tại bệnh viện?",swollen_blood_vessels,"Theo hướng dẫn của Bộ Y tế thì đối tượng đang mang thai và cho con bú là đối tượng trì hoãn tiêm chủng vacxin covid trong thời gian này và chờ đợi hướng dẫn tiếp theo của Bộ Y tế. Vì vậy trong giai đoạn này, bạn cần tuân thủ nghiêm ngặt các biện pháp phòng dịch hiệu quả khác như thông điệp 5K của Chính phủ. Còn đối với tình trạng dị ứng nổi mề đay, dị ứng thời tiết của Chị hiện tại đang đùng thuốc dị ứng kháng Histamin (có thể để điều trị đợt dị ứng cấp), tốt nhất Chị nên chờ kết thúc đợt điều trị thuốc kháng Histamin. Ngoài ra Chị có cơ địa dị ứng nên thuộc nhóm đối tượng cần thận trọng khi tiêm vaccine Covid-19, vì vậy, Chị cần khám sàng lọc và tiêm chủng tại bệnh viện hoặc cơ sở y tế có đủ năng lực cấp cứu ban đầu."
"Tôi có người em trai 45 tuổi, đã từng điều trị viêm khớp cấp ở bệnh viện lúc 15 tuổi, nay đã khỏi. Ngoài ra, em tôi còn bị dị ứng thuốc kháng sinh khi uống là bị nổi phồng rộp da lên như bị phỏng, rất đau rát. Xin hỏi bác sĩ, em tôi có thể chích ngừa vaccine hay không?",swollen_blood_vessels,"Với tình trạng tiền sử bệnh lý như vậy, anh vẫn tiêm phòng vaccine Covid-19 được. Trường hợp bị dị ứng nhẹ và không cần điều trị thuốc gì vẫn có thể tiêm phòng vaccine Covid-19 nhưng cần được khám, tiêm phòng tại tuyến bệnh viện. Nếu anh bị dị ứng nặng, phải xử trí cấp cứu thì sẽ thuộc diện chống chỉ định tiêm phòng vaccine Covid-19 (theo Quyết định 2995/QĐ-BYT ngày 18/06/2021 của Bộ Y tế)."
"Tôi bị dị ứng với thuốc kháng sinh, khi uống vào bị nổi mẩn đỏ hết người, khoảng một tuần thì hết. Cho hỏi tôi có thể tiêm vaccine Covid-19 được không?",swollen_blood_vessels,"Theo bạn chia sẻ thì bạn có bị dị ứng kháng sinh, chúng tôi không biết mức độ dị ứng đó có phải nhập viện cấp cứu hay chỉ bị nổi mẩn trên da rồi tự hết. Có 2 trường hợp để bạn biết mình có thể tiêm được vaccine Covid-19 hay không gồm: - Nếu bạn dị ứng kháng sinh có khó thở, có tím tái phải nhập viện thì trường hợp này chống chỉ định tiêm vaccine Covid-19 theo hướng dẫn của Bộ Y tế. - Nếu bạn chỉ bị nổi mẩn đỏ ít trên da, không cần điều trị, tự hết thì vẫn có thể tiêm vaccine Covid-19, tuy nhiên bạn cần tiêm tại bệnh viện hoặc các cơ sở y tế có đủ năng lực hồi sức cấp cứu ban đầu."
"Tôi đã tiêm phòng vaccine Covid-19 được 17 ngày nhưng mấy hôm nay bị đau lưng và kéo xuống đau cả cơ mông từ một bên rồi sang hai bên. Khi đi, tôi có cảm giác nhói giữa mông. Tôi bị đau có phải do tác dụng phụ của tiêm phòng vaccine Covid-19 không?",back_pain,"Các phản ứng thông thường sau tiêm vaccine Covid-19 có cả đau mỏi cơ, nhưng nếu trường hợp đau quá nhiều và kéo dài thì bạn có thể đi khám bác sĩ chuyên khoa để tìm xem có do nguyên nhân khác hay không."
"Hôn mê do biến chứng tiểu đường, nhịp tim, đường huyết ổn định có khả năng tỉnh lại và điều trị không?","coma, lethargy",Mẹ bạn đã rơi vào tình trạng hôn mê do biến chứng bệnh tiểu đường thì cần cho bà nhập viện cấp cứu để các bác sĩ đánh giá đầy đủ tình trạng toàn cơ thể. Từ đánh giá đó các bác sĩ mới tiên lượng được tình trạng bệnh mẹ của bạn và đưa ra hướng điều trị phù hợp.
"Em lấy chồng ba năm vẫn chưa có con. Tiền sử bị basedow cường giáp đã 12 năm. Hiện ngưng thuốc được bảy năm bình ổn nhưng bướu cổ vẫn to. Đi khám một bệnh viện ở TP HCM vợ chồng bình thường, nhưng em để ý mỗi lần siêu âm đều không thấy nang trứng (AMH bình thường, chu kỳ kinh nguyệt đều nhưng lượng kinh ít hai ngày đã hết).Em liền uống bổ trứng được một tháng thì siêu âm trứng phát triển nhưng lại xuất hiện u xơ tử cung trong tháng đó luôn. Em có nên tiếp tục uống bổ trứng không. U xơ tử cung có liên quan tới việc em uống bổ trứng không ạ.",enlarged_thyroid,"Em liền uống bổ trứng được một tháng thì siêu âm trứng phát triển nhưng lại xuất hiện u xơ tử cung trong tháng đó luôn. Em có nên tiếp tục uống bổ trứng không. U xơ tử cung có liên quan tới việc em uống bổ trứng không ạ. Mong bác sĩ giải đáp giúp em. Cảm ơn bác sĩ. Chào chị, cảm ơn câu hỏi của chị về cho chương trình. Các thực phẩm chức năng không gây ra nhân xơ tử cung. Nhân xơ tử cung là tình trạng hay gặp ở phụ nữ, tùy vào vị trí và kích thước của khối nhân xơ tử cung mà mức độ ảnh hướng sẽ khác nhau. Trường hợp của chị đã mong con ba năm, chị nên đi khám để can thiệp hỗ trợ sinh sản sớm."
Trẻ sơ sinh 3 tháng tuổi nổi cộm trong tai có phải viêm tai giữa không?,swollen_blood_vessels,"Trẻ 3 tháng tuổi khó biểu đạt được tình trạng đau tai. Khi bé khó chịu hoặc đau bé sẽ có những biểu hiện như quấy khóc, bỏ bú, giảm chơi, . . . Viêm tai giữa được chẩn đoán chính xác khi thăm khám tai bằng dụng cụ soi tai. Trẻ dưới 6 tháng tuổi, khi có chẩn đoán viêm tai giữa, theo khuyến cáo hiện nay cần dùng kháng sinh. Với tình trạng sốt của bé hiện tại thì bạn nên đưa bé đi khám để chẩn đoán chính xác nguyên nhân và có hướng điều trị phù hợp."
Lưỡi bị nứt và nổi nốt là do bệnh gì?,swollen_blood_vessels,"Nứt lưỡi là tình trạng xuất hiện một hoặc nhiều vết nứt ở bề mặt trên lưỡi. Nứt lưỡi được cho rằng có liên quan đến tình trạng di truyền, thói quen vệ sinh răng miệng, một số tình trạng bệnh lý như suy dinh dưỡng, vẩy nến, u hạt dị ứng hay các hội chứng Down và hội chứng Melkersson – Rosenthal.Chị bị đau rát, nứt lưỡi thì chị nên đến khám những cơ sở y tế có chuyên khoa răng hàm mặt để được các bác sĩ răng hàm mặt tư vấn điều trị tốt cho chị. Chị có thể đặt hẹn qua tổng đài Vinmec để được các bác sĩ chuyên khoa thăm khám, tư vấn điều trị phù hợp với tình trạng bệnh."
Nên xử lý thế nào khi trẻ bị mẩn ngứa khắp người?,itching,Trường hợp bé của mẹ triệu chứng cụ thể như thế nào nhỉ?“Dị ứng nhiễm trùng” là mẹ tự phán đoán hay bé đã đi khám và được bác sĩ chẩn đoán nhỉ?Tốt nhất trong trường hợp này mẹ nên cho bé đi khám bác sĩ chuyên khoa để chẩn đoán đúng bệnh và được tư vấn điều trị đúng nhé
Đau đầu khó chịu đã uống thuốc nhưng không đỡ phải làm thế nào?,"headache, malaise","Thông tin đau đầu mà chị cung cấp còn khá ít để có thể định hướng được đó là kiểu đau đầu gì. Sơ bộ thông tin chị đưa ra là một tình trạng đau đầu mức độ trung bình đến nặng, mới xuất hiện vài ngày nay, không đáp ứng với thuốc giảm đau thông thường. Đây thuộc vào nhóm tình trạng đau đầu cần phải đi khám sớm để có thể tìm ra nguyên nhân đau đầu (nếu có) và điều trị đau đầu được hợp lý."
"tôi bị viêm xoang, viêm họng mãn tính, bị thoái hoá cột sống cổ và lưng, mỡ máu cao, acid uric cao, gần đây bạch cầu cũng tăng bất thường, rối loạn chuyển hoá acid uric, cơ địa hay nổi mề đay khi uống nhiều thuốc tây, dị ứng dexa và tetra. Như vậy thì tôi có tiêm được vaccine Covid-19 không?",swollen_blood_vessels,"Hiện tại, anh có bệnh lý đang tiến triển nên cần trì hoãn tiêm chủng vaccine Covid-19 trong thời gian này. Anh có thể được tiêm vaccine Covid-19 khi các bệnh lý này được điều trị ổn định. Anh cần mang theo hồ sơ sức khỏe cá nhân gần đây để được nhân viên y tế khám sàng lọc, tốt nhất anh nên được khám và tiêm chủng tại bệnh viện, nơi có đủ điều kiện để xử trí các tai biến nặng có thể xảy ra sau khi tiêm vaccine."
"Mình bị dị ứng với phụ gia tẩm con mực tươi phải vào bệnh viện chích 3 mũi mới hết sốc phản vệ độ 2, sẩn ngứa da. Vậy mình có được chích vaccine Covid-19 được không?",itching,"Hiện tại bạn bị dị ứng với phụ gia tẩm mực tươi và phải nhập viện cấp cứu sốc phản vệ có nghĩa bạn bị dị ứng mức độ nặng (từ độ II), theo hướng dẫn của Bộ Y tế về khám sàng lọc tiêm vaccine covid-19 thì bạn thuộc nhóm chống chỉ định tiêm vaccine Covid-19. Tuy nhiên, bạn vẫn có thể phòng bệnh hiệu quả bằng các biện pháp phòng dịch khác như thông điệp 5K của Chính phủ và Bộ Y tế."
"Thường xuyên co giật, đau đầu, buồn nôn do máu bầm trên não có mổ được không?","nausea, headache","Nếu hiện tại em tỉnh táo, vùng não ổn định, chỉ lên cơn co giật thì nên khống chế bằng thuốc uống. Trường hợp khi nào không khống chế được bằng thuốc thì mới đề cập phẫu thuật em nhé."
"Tôi bị rối loạn tiền đình, mỗi lần đau là mắt rất mờ, chóng mặt, điều trị rất lâu mới nhìn lại bình thường, ngoài ra tôi còn bị viêm mũi dị ứng, viêm xoang. Tôi đang băn khoăn liệu mình có tiêm vaccine được không?",dizziness,Nếu chị đã có bệnh lý chưa ổn định hay đang tiến triển cần phải trì hoãn tiêm chủng cho đến khi các bệnh lý ổn định.
Ho có đờm kèm theo máu về đêm là bệnh gì?,phlegm,"Ngày không ho ho về đêm thường ho do dị ứng vì lúc này thời tiết thường đổi về nhiệt độ và độ ẩm so với ban ngày. Ngoài ra ho về đêm cũng thường gặp ở bệnh hen suyễn: Ho, khò khè khó thở về lúc nửa đêm gần sáng. Ho mà khạc đờm có máu thì do rất nhiều nguyên nhân: Viêm họng cấp, Lao phổi, U phổi, Giãn phế quản. . . Tốt nhất em hãy đưa chồng đến bệnh viện khám để có chẩn đoán chính xác"
"Vết khâu gót chân sưng, chảy dịch đỏ vàng là bị làm sao?",swollen_legs,"Vết khâu gót chân sưng, chảy dịch đỏ vàng thì chân em bị nhiễm trùng vết thương rồi, có thể vết khâu sẽ không liền được. Em nên đến khám lại để bác sĩ chỉ định cắt chỉ sớm và điều trị vết thương hở nhiễm trùng."
Ù tai kèm mất thăng bằng điều trị thế nào?,loss_of_balance,"Hiện tại, nếu bạn hay bị ù tai và mất thăng bằng, bạn cần tập thể dục, uống nhiều nước, đi ngủ sớm, tránh thức khuya và xem tivi hay máy tính căng thẳng. Nếu triệu chứng vẫn chưa cải thiện thì cần khám bác sĩ để kiểm tra thêm tình trạng của bạn, từ đó có biện pháp điều trị phù hợp."
"Nôn, buồn nôn sau khi dùng thuốc hạ sốt là do đâu?",nausea,"Vì bạn không nói rõ đã dùng loại thuốc nào nên mình không thể tư vấn kỹ cho bạn được. Tình trạng bạn gặp có thể do có vấn đề về dạ dày vì dùng thuốc. Tuy nhiên, để xác định rõ nguyên nhân do đâu thì bạn nên đi khám chuyên khoa Nội tiêu hóa để được tư vấn kỹ hơn và có hướng điều trị phù hợp bạn nhé"
"Đau ngứa mắt, chảy nước mắt, thị lực suy giảm có phải dấu hiệu bệnh Glocom?","watering_from_eyes, itching","Chào bác!Với những biểu hiện mà bác mô tả thì chưa đủ cơ sở để khẳng định bác bị mắc bệnh Glocom mà có thể do các bệnh lý khác như: viêm giác mạc, viêm kết mạc, viêm bờ mi. . . Theo đó, nếu các bệnh lý trên không được điều trị kịp thời cũng có thể gây ra các biến chứng làm suy giảm thị lực."
Thường xuyên đau đầu là dấu hiệu của bệnh gì?,headache,"Đau đầu thường có nhiều nguyên nhân (tim mạch, tai biến mạch máu não, thần kinh, . ). Nếu tình trạng đau đầu của bạn đã 1 năm và cơn đau thường hay tái phát như vậy thì bạn nên đi khám bác sĩ nội thần kinh để được tư vấn và chẩn đoán bệnh. ."
Mụn nước để lại thâm có phải dấu hiệu bệnh ghẻ ở trẻ sơ sinh?,blister,"Tổn thương đặc hiệu của bệnh ghẻ là luống ghẻ và mụn nước (còn gọi là mụn trai và đường hầm). Đường hầm do cái ghẻ đào ở lớp sừng, đây là đường cong ngoằn ngoèo, dài 2-3 cm, gờ cao hơn mặt da, màu trắng đục hay trắng xám, không khớp với da. Ở đầu đường hầm có mụn nước 1 - 2 mm đường kính, đây chính là nơi cư trú của cái ghẻ. Đường hầm thường tìm thấy ở kẽ ngón tay, đường chỉ lòng bàn tay, nếp gấp cổ tay và quy đầu. Ở mụn nước nhỏ, lấy kim chích dịch ra để lộ màu xám hoặc đen, dùng kim khều sẽ bắt được cái ghẻ bám trên đầu kim. Mụn nước sắp xếp rải rác, riêng rẽ ở vùng da mỏng như kẽ ngón tay, đường chỉ lòng bàn tay, mặt trước cổ tay, cẳng tay, nếp vú, quanh thắt lưng, rốn, kẽ mông, mặt trong đùi và bộ phận sinh dục. Ở trẻ sơ sinh, mụn nước có thể xuất hiện ở lòng bàn chân, ở quy đầu, ghẻ có thể gây ra vết trợt được gọi là săng ghẻ, dễ nhầm với săng giang mai. Dấu hiệu ngứa nhiều vào ban đêm vì lúc đi ngủ, cái ghẻ di chuyển gây kích thích đầu dây thần kinh cảm giác ở da và một phần do độc tố ghẻ cái tiết ra khi đào hang. Ngứa gãi gây nhiễm khuẩn, vết xước gãi, vết trợt, sẩn, vẩy tiết, mụn nước, mụn mủ, chốc nhọt, sẹo thâm màu, bạc màu. . . Ghẻ có thuốc điều trị đặc hiệu vì vậy để tránh những thương tổn ở da, bạn nên cho bé đi khám bác sĩ Da liễu để chẩn đoán xác định xem bé có bị ghẻ không để điều trị."
"Đau đầu, mắt căng mỏi nguyên nhân là gì?",headache,"Với triệu chứng như bạn mô tả xuất hiện ở một người trẻ tuổi thường có nhiều nguyên nhân, bác sĩ không biết bạn đi khám bác sĩ ở đâu và đã được chụp chiếu những gì. Nếu sau khi uống thuốc theo đơn của bác sĩ không thấy đỡ thì cần thăm khám lại để bác sĩ điều chỉnh thuốc. Bạn cũng cần thăm khám với bác sĩ chuyên khoa Mắt để loại trừ những bệnh lý tại mắt."
"Phù người, rối loạn kinh nguyệt khi dùng thuốc tăng cân có phải do suy thượng thận?",weight_gain,"Có khả năng trong thuốc tăng cân có chứa corticoid, nếu sử dụng kéo dài khả năng gây suy thượng thận mạn tính. Vì vậy, bạn muốn biết rõ mình có bị hay không thì cần khám chuyên khoa Nội tiết để xác định bạn nhé."
Có thể sử dụng ống bơm trực tràng điều trị táo bón khi đang cho con bú không?,constipation,"Trước hết em nên uống nhiều nước ăn nhiều trái cây, rau để nhuận tràng và có thể dùng thuốc bơm kết hợp nhé."
"Đau bụng, chán ăn, sụt cân có phải bị ung thư không?","abdominal_pain, loss_of_appetite, weight_loss, belly_pain","Để đưa ra kết luận đau bụng, chán ăn, sụt cân có phải bị ung thư không của bạn, bác sĩ cần thăm khám thêm, xem lại các kết quả xét nghiệm đã có, có thể thực hiện thêm một số xét nghiệm nữa, thì mới có hướng tư vấn rõ được đó có phải là dấu hiệu cảnh báo bệnh ung thư hay không."
Mắt bị ngứa nguyên nhân là gì?,itching,"Mắt bị ngứa có thể đến từ nguyên nhân mắt đang bị nhiễm trùng bởi các tác nhân như vi khuẩn, virus, nấm,... Mắt bạn bị ngứa nhiều, sau đó xuất hiện một vài tia máu đỏ, điều trị nhỏ thuốc không khỏi. Bạn nên đến bệnh viện khám để được tư vấn bệnh và cách điều trị."
"Vẹo vách ngăn mũi và có triệu chứng nghẹt thở, khó thở kèm viêm mũi phải làm thế nào?",breathlessness,"Khi bị lệch vách ngăn nghiêm trọng, nó có thể làm tắc một bên mũi và làm giảm luồng khí, gây khó thở. Sự tiếp xúc thêm của vách ngăn lệch với tác động làm khô của luồng không khí qua mũi đôi khi có thể góp phần gây đóng vảy hoặc chảy máu ở một số người.Nếu lãnh đạo của em bị vẹo vách ngăn mũi, có các triệu chứng như nghẹt mũi, khó thở và còn bị viêm mũi nữa thì em nên khuyên lãnh đạo nên đến khám khoa Tai mũi họng bệnh viện thuộc Hệ thống Y tế Vinmec để được các bác sĩ thăm khám, tư vấn kỹ lưỡng nhằm đưa ra phương pháp điều trị tốt nhất."
Trẻ sơ sinh hơn 10 ngày không đi ngoài là dấu hiệu của táo bón?,constipation,"Táo bón được định nghĩa là có ít hơn 3 lần đi đại tiện trong một tuần, ngoài ra bạn chưa nói tình trạng tăng cân của bé, quá trình ăn ngủ chơi của con. Việc bạn cho bé ăn sữa mẹ hoàn toàn trong 6 tháng đầu như vậy là rất tốt, bạn không cần lo lắng. Tuy nhiên, nếu trẻ hơn 10 ngày mà chưa đi ngoài thì bạn nên cho con khám bác sĩ, giúp tìm hiểu nguyên nhân táo bón ở trẻ như: Chế độ ăn, thói quen, cấu tạo đường tiêu hóa. ."
"Tiểu buốt, tiểu ra máu kèm vàng da là biểu hiện bệnh gì?",burning_micturition,"Qua những gì bạn mô tả có thể bạn bị nhiễm khuẩn đường tiết niệu. Nếu có triệu chứng sốt cao, rét run, bạn nên đến ngay cơ sở y tế để điều trị, không được điều trị tại nhà."
Phương pháp giảm khó chịu và ngứa rát trĩ độ 4,"itching, malaise","Trĩ độ 4 tức búi trĩ sa ra ngoài thường xuyên, không co vào trong hậu môn được nữa. Trĩ độ 4 có thể gây biến chứng như chảy máu, viêm nhiễm hay tắc mạch trĩ cấp gây hoại tử búi trĩ. Bạn cần thăm khám với bác sĩ chuyên khoa để được hỗ trợ. Trước mắt có thể tạm giảm nhẹ triệu chứng bằng cách ngâm hậu môn (sit bath) với dung dịch nước muối pha loãng, hơi ấm để giúp giảm phù nề, giảm viêm nhiễm, chế độ ăn chống táo bón, các thuốc điều trị phải do bác sĩ khám kê đơn."
